blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
0.209628,0.456466,0.0254,4.44316055,0.483984536,1.221,1.2,3.497,2.58,1.2,8.28
0.0082195,0.042341,0.002111111,8.159377944,0.677261966,3.913333333,2.3,0.675,5.33,1.1,1.32
0.4870285,0.1849865,0.0087,3.415666667,0.16652651,2.848666667,1.8,2.055,3.53,1.2,5.65
0.228,0.05375,0.0427,9.96,0.159619382,7.810666667,7.25,1.272,16,1.9,0.684
0.292029,0.105003,0.0129,39.56540694,0.047611585,0.671,2,0.874,3.66,1.2,6.43
1.590476,0.1460024,0.0539,14.32,0.604141353,7.810666667,7.75,3.62,4.96,4.5,0.398
0.1657605,0.43035,0.0174,0.146497688,1,1.134,1.2,1.498666667,1.38,1.1,5.96
0.0134535,0.047022,0.0115,1.194333333,1,0.115,0.7,0.576,1.56,1.1,3.05
0.3056325,0.592787,0.0034,0.596,1,1.159,0.6,1.315,1.38,1.1,5.96
0.2435135,0.235792,0.0064,0.4455,0.34116758,2.135,1.6,3.035,2.94,2.4,2.04
0.237883,0.3634635,0.0043,0.512363376,0.189734432,0.87,1,19.804,8.23,9.5,2.51
0.73427652,1.510563043,0.1946,0.508,1,0.696,0.7,3.62,0.713,2.4,1.6
0.095810583,0.029994,0.0503,5.9,0.108724884,17.286,11.9,14.162,13,3,1.11
0.223385,0.094049,0.0539,5.302691826,1,2.7905,2.3,0.675,3.66,1.2,6.43
0.035472,0.0572345,0.0122,5.608731058,0.056326468,3.214,0.5,0.66,4.1,1.3,1.33
0.111208,0.0740135,0.002,5.433119591,0.127045529,1.090666667,0.5,1.122,3.4,2,3.71
0.2153,0.219003,0.0451,5.9,0.193792272,2.613,0.7,2.605,3.57,1.4,2.43
0.275438,0.073687,0.0095,9.450575375,1,3.3855,2.1,0.569,5,1.4,1.33
0.7556415,0.652231,0.0174,1.84,0.208824516,2.373,1.4,2.56,5.65,3.4,1.37
0.567487,0.089248,0.0576,3.588729305,0.186165454,3.257,2,1.459,5.09,1.5,3.62
0.3685295,0.1440105,0.0026,1.959,1,1.694,0.7,0.766,2.67,1.5,4.05
15.11477867,1.028808,0.0446,13.72341792,0.384951193,17.286,4.85,4.942,4.63,6.8,2.52
